index_date,luse_index
2020-10-04,3811.81
2020-10-05,3811.81
2020-10-06,3811.81
2020-10-07,3811.75
2020-10-08,3811.75
2020-10-09,3811.75
2020-10-10,3811.75
2020-10-11,3811.75
2020-10-12,3811.75
2020-10-13,3811.75
2020-10-14,3811.75
2020-10-15,3806.88
2020-10-16,3806.88
2020-10-17,3806.88
2020-10-18,3806.88
2020-10-19,3806.88
2020-10-20,3806.88
2020-10-21,3806.88
2020-10-22,3806.88
2020-10-23,3806.88
2020-10-24,3806.88
2020-10-25,3806.88
2020-10-26,3806.88
2020-10-27,3809.22
2020-10-28,3809.22
2020-10-29,3809.22
2020-10-30,3809.22
2020-10-31,3809.22
2020-11-01,3809.22
2020-11-02,3809.22
2020-11-03,3809.22
2020-11-04,3757.83
2020-11-05,3757.83
2020-11-06,3760.73
2020-11-07,3760.73
2020-11-08,3760.73
2020-11-09,3760.73
2020-11-10,3775.3
2020-11-11,3796.85
2020-11-12,3820.03
2020-11-13,3855.33
2020-11-14,3855.33
2020-11-15,3855.33
2020-11-16,3883.92
2020-11-17,3868.78
2020-11-18,3868.78
2020-11-19,3868.78
2020-11-20,3868.78
2020-11-21,3868.78
2020-11-22,3868.78
2020-11-23,3868.78
2020-11-24,3909.42
2020-11-25,3854.41
2020-11-26,3803.23
2020-11-27,3804.37
2020-11-28,3804.37
2020-11-29,3804.37
2020-11-30,3780.64
2020-12-01,3779.72
2020-12-02,3777.65
2020-12-03,3777.65
2020-12-04,3847.99
2020-12-05,3847.99
2020-12-06,3847.99
2020-12-07,3844.68
2020-12-08,3855.85
2020-12-09,3855.85
2020-12-10,3855.85
2020-12-11,3855.85
2020-12-12,3855.85
2020-12-13,3855.85
2020-12-14,3899.98
2020-12-15,3937.22
2020-12-16,3937.35
2020-12-17,3937.35
2020-12-18,3937.35
2020-12-19,3937.35
2020-12-20,3937.35
2020-12-21,3937.22
2020-12-22,3937.22
2020-12-23,3937.22
2020-12-24,3937.22
2020-12-25,3937.22
2020-12-26,3937.22
2020-12-27,3937.22
2020-12-28,3912.46
2020-12-29,3912.46
2020-12-30,3912.33
2020-12-31,3912.33
2021-01-01,3912.33
2021-01-02,3912.33
2021-01-03,3912.33
2021-01-04,3912.33
2021-01-05,3912.33
2021-01-06,3912.33
2021-01-07,3912.33
2021-01-08,3912.33
2021-01-09,3912.33
2021-01-10,3912.33
2021-01-11,3912.33
2021-01-12,3912.33
2021-01-13,3912.33
2021-01-14,3912.33
2021-01-15,3912.33
2021-01-16,3912.33
2021-01-17,3912.33
2021-01-18,3912.33
2021-01-19,3912.33
2021-01-20,3912.33
2021-01-21,3912.33
2021-01-22,3912.33
2021-01-23,3912.33
2021-01-24,3912.33
2021-01-25,3912.33
2021-01-26,3912.33
2021-01-27,3912.33
2021-01-28,3902.59
2021-01-29,3902.59
2021-01-30,3902.59
2021-01-31,3902.59
2021-02-01,3904.59
2021-02-02,3904.59
2021-02-03,3904.59
2021-02-04,3904.59
2021-02-05,3904.59
2021-02-06,3904.59
2021-02-07,3904.59
2021-02-08,3900.87
2021-02-09,3901.39
2021-02-10,3911.32
2021-02-11,3944.84
2021-02-12,3948.15
2021-02-13,3948.15
2021-02-14,3948.15
2021-02-15,3948.15
2021-02-16,3971.18
2021-02-17,3971.18
2021-02-18,3971.18
2021-02-19,3971.18
2021-02-20,3971.18
2021-02-21,3971.18
2021-02-22,3984.41
2021-02-23,3983.9
2021-02-24,3983.9
2021-02-25,3983.9
2021-02-26,3983.9
2021-02-27,3983.9
2021-02-28,3983.9
2021-03-01,3983.9
2021-03-02,3983.9
2021-03-03,3983.9
2021-03-04,3965.29
2021-03-05,3970.9
2021-03-06,3970.9
2021-03-07,3970.9
